"Series ID","Parent ID",Name,Unit,Frequency,Type,"Is Heading",Source,Comment
1,,"Real Sector",,,,True,"Maldives Airports Company Limited; Maldives Customs Service; Maldives Monetary Authority; Ministry of Finance; Ministry of Fisheries, Marine Resources and Agriculture; Ministry of Tourism; Maldives Bureau of Statistics",
2,1,"National Accounts",,,,True,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics",
3,2,"Real GDP",,,,True,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics","GDP base year is 2014 and the data broadly complies with the guidelines of System of National Accounts 2008. GDP has been revised as per data available as at 29 September 2020. Figures for 2020 and 2021 are projections available as at 2 October 2020, forecasted by the Maldives Monetary Authority and the Ministry of Finance."
4,3,"GDP at market price",Rufiyaa,Annual,Flow,False,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics","Figures for 2020 and 2021 are projections available as at 2 October 2020, forecasted by the Maldives Monetary Authority and the Ministry of Finance."
5,4,"Taxes less subsidies",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
6,4,"Total GVA at basic prices",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
7,6,Primary,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
8,7,Agriculture,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
9,7,Fisheries,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
10,6,Secondary,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
11,10,Manufacturing,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
12,11,"Fish preparation",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
13,11,"Other manufacturing products",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
14,10,"Electricity and water",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
15,14,Electricity,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
16,14,"Water and sewerage",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
17,10,Construction,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
18,6,Tertiary,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
19,18,"Wholesale and retail trade",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
20,18,Tourism,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
21,20,Resorts,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
22,20,"Other accommodation services",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
23,20,"Food and beverage services",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
24,18,"Transportation and communication",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
25,24,Transportation,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
26,24,"Travel agencies and support services",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
27,24,"Postal and telecommunication",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
28,18,"Financial services",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
